DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
23-Jan-2026,EQ,2009.0,2011.7,1980.1,2002.2,1988.0,1984.7,1994.08,2174.5,1559.5,4340925,8656145673.8,128816
22-Jan-2026,EQ,2008.8,2018.9,1990.0,1996.1,2007.9,2002.2,2002.28,2174.5,1559.5,6722567,13460436283.7,274860
21-Jan-2026,EQ,1977.0,2007.1,1967.0,1996.0,1999.9,1996.1,1991.62,2174.5,1559.5,7952295,15837943630.5,192076
20-Jan-2026,EQ,2018.0,2018.0,1977.1,2010.0,1990.0,1996.0,2001.96,2174.5,1559.5,6076838,12165556263.8,168198
19-Jan-2026,EQ,2023.0,2023.0,1996.3,2016.4,2010.0,2010.0,2011.18,2174.5,1559.5,4272071,8591892954.1,151027
16-Jan-2026,EQ,2020.0,2029.7,1988.7,2022.5,2018.0,2016.4,2010.42,2174.5,1559.5,7310676,14697512240.7,204099
14-Jan-2026,EQ,2015.1,2034.0,2008.7,2026.9,2021.0,2022.5,2021.86,2174.5,1559.5,4842964,9791798346.3,173040
13-Jan-2026,EQ,2047.0,2049.9,2014.9,2044.0,2025.3,2026.9,2027.64,2174.5,1559.5,7388496,14981244480.7,175232
12-Jan-2026,EQ,2023.5,2048.8,2001.3,2027.1,2042.7,2044.0,2019.35,2174.5,1559.5,4689135,9469011167.4,220071
09-Jan-2026,EQ,2070.2,2084.0,2023.2,2066.3,2031.1,2027.1,2045.01,2174.5,1559.5,4165409,8518316241.7,173389
08-Jan-2026,EQ,2088.0,2092.0,2055.0,2084.2,2066.6,2066.3,2068.37,2174.5,1559.5,5534929,11448254930.2,206092
07-Jan-2026,EQ,2095.6,2103.8,2077.0,2105.3,2084.0,2084.2,2084.97,2174.5,1559.5,4171371,8697163031.2,193447
06-Jan-2026,EQ,2106.8,2121.8,2087.5,2105.0,2109.1,2105.3,2103.21,2174.5,1559.5,9119265,19179757706.1,274914
05-Jan-2026,EQ,2102.1,2112.1,2096.5,2106.3,2101.6,2105.0,2105.16,2174.5,1559.5,2642580,5563055322.7,130767
02-Jan-2026,EQ,2108.0,2125.0,2098.0,2110.4,2108.5,2106.3,2107.79,2174.5,1559.5,2927138,6169784842.0,137361
01-Jan-2026,EQ,2114.8,2123.9,2107.0,2105.6,2111.4,2110.4,2114.82,2174.5,1559.5,2097756,4436371604.4,85306
31-Dec-2025,EQ,2096.0,2121.0,2090.1,2099.8,2107.0,2105.6,2105.46,2174.5,1559.5,2991434,6298336696.3,129671
