DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Feb-26,EQ,"2,028.00","2,038.50","2,014.20","2,029.40","2,021.60","2,020.30","2,025.43","2,174.50","1,559.50",4471158,"9,05,60,05,422.00",140780
16-Feb-26,EQ,"2,010.00","2,032.20","1,995.00","2,004.70","2,030.00","2,029.40","2,018.51","2,174.50","1,559.50",3455964,"6,97,58,86,026.70",162819
13-Feb-26,EQ,"2,013.90","2,024.20","1,992.00","2,014.50","1,993.00","2,004.70","2,009.88","2,174.50","1,559.50",4808543,"9,66,46,13,458.10",128252
12-Feb-26,EQ,"2,019.20","2,027.00","2,009.10","2,012.10","2,016.20","2,014.50","2,018.03","2,174.50","1,559.50",7437690,"15,00,95,12,113.00",171559
11-Feb-26,EQ,"2,012.90","2,021.00","1,996.70","2,011.30","2,010.80","2,012.10","2,009.28","2,174.50","1,559.50",7423601,"14,91,60,61,102.70",179221
10-Feb-26,EQ,"2,052.00","2,057.00","2,008.40","2,038.20","2,011.50","2,011.30","2,028.51","2,174.50","1,559.50",9077763,"18,41,43,67,468.20",161362
09-Feb-26,EQ,"2,051.20","2,055.20","2,028.70","2,038.40","2,038.20","2,038.20","2,043.03","2,174.50","1,559.50",7570161,"15,46,60,83,176.80",258448
06-Feb-26,EQ,"1,994.00","2,049.70","1,988.50","1,992.40","2,023.00","2,038.40","2,021.27","2,174.50","1,559.50",13870403,"28,03,58,88,422.20",260653
05-Feb-26,EQ,"2,012.00","2,022.90","1,985.00","2,025.80","1,992.20","1,992.40","2,002.08","2,174.50","1,559.50",7708690,"15,43,33,94,106.90",239320
04-Feb-26,EQ,"2,008.00","2,034.60","1,998.40","1,997.30","2,022.80","2,025.80","2,022.89","2,174.50","1,559.50",7464725,"15,10,02,87,543.80",268266
03-Feb-26,EQ,"2,050.00","2,050.00","1,980.10","1,965.40","1,995.00","1,997.30","1,998.54","2,174.50","1,559.50",6915795,"13,82,15,23,452.40",197865
02-Feb-26,EQ,"1,936.10","1,969.80","1,926.50","1,949.00","1,966.40","1,965.40","1,953.85","2,174.50","1,559.50",5326225,"10,40,66,49,696.10",173244
01-Feb-26,EQ,"1,968.70","1,976.40","1,901.00","1,968.70","1,934.00","1,949.00","1,950.77","2,174.50","1,559.50",2926225,"5,70,83,99,688.40",83964
30-Jan-26,EQ,"1,925.60","1,974.00","1,925.60","1,967.90","1,968.80","1,968.70","1,962.60","2,174.50","1,559.50",7683747,"15,08,01,42,264.70",198918
29-Jan-26,EQ,"1,964.00","1,970.50","1,939.00","1,957.70","1,969.00","1,967.90","1,960.68","2,174.50","1,559.50",6065044,"11,89,16,02,207.30",189722
28-Jan-26,EQ,"1,995.00","1,995.00","1,939.00","1,973.40","1,956.00","1,957.70","1,957.43","2,174.50","1,559.50",9426909,"18,45,25,53,631.70",202617
27-Jan-26,EQ,"1,972.10","2,003.80","1,962.70","1,984.70","1,981.00","1,973.40","1,976.71","2,174.50","1,559.50",10510891,"20,77,69,98,380.30",255465
23-Jan-26,EQ,"2,009.00","2,011.70","1,980.10","2,002.20","1,988.00","1,984.70","1,994.08","2,174.50","1,559.50",4340925,"8,65,61,45,673.80",128816
22-Jan-26,EQ,"2,008.80","2,018.90","1,990.00","1,996.10","2,007.90","2,002.20","2,002.28","2,174.50","1,559.50",6722567,"13,46,04,36,283.70",274860
21-Jan-26,EQ,"1,977.00","2,007.10","1,967.00","1,996.00","1,999.90","1,996.10","1,991.62","2,174.50","1,559.50",7952295,"15,83,79,43,630.50",192076
20-Jan-26,EQ,"2,018.00","2,018.00","1,977.10","2,010.00","1,990.00","1,996.00","2,001.96","2,174.50","1,559.50",6076838,"12,16,55,56,263.80",168198
19-Jan-26,EQ,"2,023.00","2,023.00","1,996.30","2,016.40","2,010.00","2,010.00","2,011.18","2,174.50","1,559.50",4272071,"8,59,18,92,954.10",151027
16-Jan-26,EQ,"2,020.00","2,029.70","1,988.70","2,022.50","2,018.00","2,016.40","2,010.42","2,174.50","1,559.50",7310676,"14,69,75,12,240.70",204099
14-Jan-26,EQ,"2,015.10","2,034.00","2,008.70","2,026.90","2,021.00","2,022.50","2,021.86","2,174.50","1,559.50",4842964,"9,79,17,98,346.30",173040
13-Jan-26,EQ,"2,047.00","2,049.90","2,014.90","2,044.00","2,025.30","2,026.90","2,027.64","2,174.50","1,559.50",7388496,"14,98,12,44,480.70",175232
12-Jan-26,EQ,"2,023.50","2,048.80","2,001.30","2,027.10","2,042.70","2,044.00","2,019.35","2,174.50","1,559.50",4689135,"9,46,90,11,167.40",220071
09-Jan-26,EQ,"2,070.20","2,084.00","2,023.20","2,066.30","2,031.10","2,027.10","2,045.01","2,174.50","1,559.50",4165409,"8,51,83,16,241.70",173389
08-Jan-26,EQ,"2,088.00","2,092.00","2,055.00","2,084.20","2,066.60","2,066.30","2,068.37","2,174.50","1,559.50",5534929,"11,44,82,54,930.20",206092
07-Jan-26,EQ,"2,095.60","2,103.80","2,077.00","2,105.30","2,084.00","2,084.20","2,084.97","2,174.50","1,559.50",4171371,"8,69,71,63,031.20",193447
06-Jan-26,EQ,"2,106.80","2,121.80","2,087.50","2,105.00","2,109.10","2,105.30","2,103.21","2,174.50","1,559.50",9119265,"19,17,97,57,706.10",274914
05-Jan-26,EQ,"2,102.10","2,112.10","2,096.50","2,106.30","2,101.60","2,105.00","2,105.16","2,174.50","1,559.50",2642580,"5,56,30,55,322.70",130767
02-Jan-26,EQ,"2,108.00","2,125.00","2,098.00","2,110.40","2,108.50","2,106.30","2,107.79","2,174.50","1,559.50",2927138,"6,16,97,84,842.00",137361
01-Jan-26,EQ,"2,114.80","2,123.90","2,107.00","2,105.60","2,111.40","2,110.40","2,114.82","2,174.50","1,559.50",2097756,"4,43,63,71,604.40",85306
31-Dec-25,EQ,"2,096.00","2,121.00","2,090.10","2,099.80","2,107.00","2,105.60","2,105.46","2,174.50","1,559.50",2991434,"6,29,83,36,696.30",129671
30-Dec-25,EQ,"2,077.00","2,102.80","2,071.60","2,081.60","2,099.40","2,099.80","2,098.35","2,174.50","1,559.50",6983390,"14,65,35,74,322.60",173712
29-Dec-25,EQ,"2,105.40","2,112.70","2,079.40","2,105.40","2,081.40","2,081.60","2,089.02","2,174.50","1,559.50",2371034,"4,95,31,36,389.40",129894
